edge_index,mcu_pa9_time_s,pi_irq_marker_time_s,delta_us
316,0.3163760,0.3163796,3.60
317,0.3173760,0.3173794,3.40
318,0.3183759,0.3183794,3.50
319,0.3193758,0.3193793,3.50
320,0.3203758,0.3203793,3.50
321,0.3213757,0.3213792,3.50
322,0.3223756,0.3223791,3.50
323,0.3233756,0.3233791,3.50
324,0.3243755,0.3243790,3.50
325,0.3253755,0.3253789,3.40
326,0.3263754,0.3263789,3.50
327,0.3273753,0.3273788,3.50
328,0.3283753,0.3283788,3.50
329,0.3293752,0.3293787,3.50
330,0.3303751,0.3303787,3.60
331,0.3313751,0.3313786,3.50
332,0.3323750,0.3323785,3.50
333,0.3333749,0.3333784,3.50
334,0.3343749,0.3343784,3.50
335,0.3353748,0.3353783,3.50
336,0.3363748,0.3363783,3.50
337,0.3373747,0.3373782,3.50
338,0.3383746,0.3383781,3.50
339,0.3393746,0.3393780,3.40
340,0.3403745,0.3403780,3.50
341,0.3413744,0.3413779,3.50
342,0.3423744,0.3423779,3.50
343,0.3433743,0.3433778,3.50
344,0.3443743,0.3443777,3.40
345,0.3453742,0.3453777,3.50
346,0.3463741,0.3463828,8.70
347,0.3473741,0.3473775,3.40
348,0.3483740,0.3483827,8.70
349,0.3493739,0.3493774,3.50
350,0.3503739,0.3503826,8.70
351,0.3513738,0.3513773,3.50
352,0.3523737,0.3523825,8.80
353,0.3533737,0.3533772,3.50
354,0.3543736,0.3543822,8.60
355,0.3553736,0.3553771,3.50
356,0.3563735,0.3563822,8.70
357,0.3573734,0.3573769,3.50
358,0.3583734,0.3583820,8.60
359,0.3593733,0.3593768,3.50
360,0.3603732,0.3603820,8.80
361,0.3613732,0.3613766,3.40
362,0.3623731,0.3623818,8.70
363,0.3633731,0.3633765,3.40
364,0.3643730,0.3643816,8.60
365,0.3653729,0.3653764,3.50
366,0.3663729,0.3663815,8.60
367,0.3673728,0.3673763,3.50
368,0.3683727,0.3683762,3.50
369,0.3693727,0.3693762,3.50
370,0.3703726,0.3703761,3.50
371,0.3713725,0.3713760,3.50
372,0.3723725,0.3723760,3.50
373,0.3733724,0.3733759,3.50
374,0.3743724,0.3743759,3.50
375,0.3753723,0.3753758,3.50
376,0.3763722,0.3763757,3.50
377,0.3773722,0.3773756,3.40
378,0.3783721,0.3783756,3.50
379,0.3793720,0.3793755,3.50
380,0.3803720,0.3803755,3.50
381,0.3813719,0.3813754,3.50
382,0.3823719,0.3823753,3.40
383,0.3833718,0.3833753,3.50
384,0.3843717,0.3843753,3.60
385,0.3853717,0.3853751,3.40
386,0.3863716,0.3863751,3.50
387,0.3873715,0.3873750,3.50
388,0.3883715,0.3883749,3.40
389,0.3893714,0.3893749,3.50
390,0.3903713,0.3903748,3.50
391,0.3913713,0.3913748,3.50
392,0.3923712,0.3923747,3.50
393,0.3933712,0.3933746,3.40
394,0.3943711,0.3943746,3.50
395,0.3953710,0.3953745,3.50
396,0.3963710,0.3963745,3.50
397,0.3973709,0.3973744,3.50
398,0.3983708,0.3983743,3.50
399,0.3993708,0.3993743,3.50
400,0.4003707,0.4003742,3.50
401,0.4013707,0.4013741,3.40
402,0.4023706,0.4023741,3.50
403,0.4033705,0.4033740,3.50
404,0.4043705,0.4043740,3.50
405,0.4053704,0.4053739,3.50
406,0.4063703,0.4063738,3.50
407,0.4073703,0.4073737,3.40
408,0.4083702,0.4083737,3.50
409,0.4093701,0.4093736,3.50
410,0.4103701,0.4103736,3.50
411,0.4113700,0.4113735,3.50
412,0.4123700,0.4123734,3.40
413,0.4133699,0.4133734,3.50
414,0.4143698,0.4143734,3.60
415,0.4153698,0.4153733,3.50
416,0.4163697,0.4163732,3.50
417,0.4173696,0.4173731,3.50
418,0.4183696,0.4183731,3.50
419,0.4193695,0.4193730,3.50
420,0.4203695,0.4203729,3.40
421,0.4213694,0.4213729,3.50
422,0.4223693,0.4223728,3.50
